
ABACUS,주판
CIRCUMSCRIBE,제한하다
MACERATE,"(물이나 용액으로)부드럽게 하다, 불리다, 분해하다"
CARNAL,육체적인
INSURGENT,"반란을 일으킨 사람, 반군, 폭도"
PERSONABLE,"잘생긴, 매력적인"
REACTANT,반응하는 물질
CONVULSION,"경련, 경기"
CLARION,(소리가) 크고 명료한
REALIZED,현실화된
INCURSION,침입
APOCALYPTIC,"궁극적인,결정적인,매우 중요한;종말론적인 파괴를 예언하는, 끔찍한"
BULGE,"돌출, 불룩함"
FIXED,"고정된; 견고한, 확고한"
ASH,재
CONUNDRUM,"난제, 수수께끼"
CONFLUENCE,"합류, 집합, 모임"
RETAINER,수행원
CLICHÉ,진부한 표현
PARANOID,"편집증의, 지나치게 남을 의심하는"
BROOK,(반대의견) 참고 받아들이다
CORONATION,대관식
RADICAL,근본적인; 급진적인
USURP,권력을 불법적으로 찬탈하다
HYBRID,잡종의
INSENSITIVE,"(타인에 대해)민감하지 않은, 무신경한"
GENERIC,일반적인
EXHAUST,기진맥진하게 하다
SMASH,"갑작스럽고 시끄럽게 박살내다, 파괴하다; 격렬하게 충돌하다"
KINDRED,"동종의, 관련된"
EXECRATE,"혐오하다, 비난하다"
INATTENTIVE,"무관심한, 부주의한, 배려하지 않는"
ELUSIVE,"(이해, 정의) 힘든, 피하는, 잡히지 않는"
INCENDIARY,방화범; 선동가
REVILE,비난하다
FLANNEL,"플란넬, 무명, 면포"
CRUST,빵 껍질
ZONE,지역을 분할하다
PALATABLE,맛있는
HERMETIC,"고립된, 외부와 차단된; 난해한"
STRAY,(있어야할 곳을 벗어나)헤매다
ELECTIVE,선출의;선출권이 있는;선택적인
HUSBAND,"아껴 쓰다, 절약하다"
CLAIRVOYANT,"천리안이 있는, 통찰력이 있는"
REPREHENSIBLE,비난 받아 마땅한
STRIATE,홈을 파다
DECELERATION,감속
NOISOME,"불쾌한,해로운,악취가 나는"
PROOFREAD,교정하다
IMPENITENT,뉘우치지 않는
SATURNINE,"침울한, 우울한"
PERSPICUOUS,"명확한,명료한"
FASTIDIOUS,"꼼꼼한, 까다로운"
LITHE,"유연한, 우아한"
ARROGANCE,오만함
SERENDIPITY,운수 좋은 뜻밖의 발견(물)
DIAGNOSE,진단하다
ILLEGIBLE,"읽을 수 없는, 해독 불가한"
QUARRY,채석장; 채굴하다; 오랜 탐구를 통해 찾아내다
UMPIRE,"(스포츠)주심, 심판"
DEFAME,명예를 훼손하다
GEYSER,간헐천
VACUUM,물질의 부재(의); 물질이 없는 공간; 진공상태(의)
APPRAISE,"감정하다, 가치를 평가하다"
DECREPIT,나이 들어 쇠약해진; 오래되어 못쓰게 된
DIABOLIC,악마 같은
STIMULANT,"자극제, 흥분제"
OSTENTATIOUS,"자랑/과시하는,허세부리는"
EUPHEMISM,완곡어법
ANSWERABLE,"책임져야 하는,책임이 있는"
EXODUS,대 탈출
OBSOLETE,"구식의,못쓰게 된"
KEEN,"열렬한, 예리한, 날카로운"
AVARICE,탐욕
VERBIAGE,(지나치게 기술용어를 사용해서)장황함
MANIFEST,"뚜렷한, 명백한"
SPARTAN,"엄격한, 간소한, 사치부리지 않는"
ENNUI,권태
PRESERVATIVE,방부제
EXEMPTION,면제
MIRE,"습지, 늪;곤경;(어려운 상황에)얽히게 하다"
UNGAINLY,"(외모, 행동, 솜씨 등) 서툴고 어색한"
PORTENTOUS,"심각한, 중요한, 불길한, 놀라운"
SLUR,"중상하다, 비방하다"
BABBLE,재잘거리다;옹알거리다
SUPERFLUOUS,"잉여의, 불필요한"
MUFFLE,소음(消音)시키다
WISTFUL,"갈망하는,탐내는 듯한;생각에 잠긴,슬픈"
INANIMATE,살아있지 않은 생명이 없는
STENTORIAN,"(소리) 우렁찬, 울리는"
ABERRANT,"정도를 벗어난,비정상의,변종의"
NURTURE,"양육하다,돌보다"
UNFLAPPABLE,침착한
DASHING,"화려한, 멋진, 세련된"
EFFUSIVE,"(감정표현이) 야단스런, 지나친"
POSTULATE,가정하다; 당연한 것으로 여기다
IMPLANT,"심다, 이식하다, 박다, 주입하다"
FRIVOLOUS,"(태도가) 가벼운, 경박한; 하찮은"
APPAREL,"의류, 옷"
FEALTY,(영주에 대한) 충성
BLIGHT,"고사시키다, 해를 입히다"
GIDDY,"경솔한, 진지하지 못한; 현기증 나는"
TEMPER,"누그러뜨리다, 완화시키다"
INANE,"무의미한, 어리석은"
RELIABLE,믿을만한
LANGUOR,"쇠약; 무기력, 권태; 무관심"
REMORSELESS,"(행동) 가혹한, 무자비한, 뉘우치지않는 "
FLOURISH,번성하다
BURLESQUE,풍자극
HAVEN,항구; 피난처
DRAIN,"서서히 배출하다, 물기 없애다"
IMPROVIDENT,미래를 대비하지 않는; 낭비하는
UNINFORMATIVE,정보를 주지 않는
VERACITY,"진실성, 정확성"
GARGOYLE,"사람,동물의 형상을 한 괴물의 조각"
SEDULOUS,"근면 성실한, 주의 깊고 부지런한"
AMBLE,천천히 걷다
UNDIGNIFIED,"위엄없는, 품위없는"
IMPLY,암시하다
INVESTIGATE,조사하다
MITIGATE,완화시키다
SANCTION,"허가하다, 승인하다"
IMPEL,"강요하다, 강제하다"
BUNGLE,"어설픈짓하다, 실수하다"
PREMEDITATED,"미리 생각한, 계획된"
NOTORIETY,(악명으로)유명함
DIFFIDENT,"자신 없는, 기가 죽은, 수줍어하는"
SUBJUGATE,"굴복시키다, 지배하다"
GLIB,"(깊이 없이)말만 유창한, 입심 좋은"
SEETHE,(마음속이) 분노로 부글부글 끓다; 분노로 끓어오르는 상태
EQUIVOCAL,애매한
MOMENT,중요성
PESTER,"괴롭히다, 조르다"
TASTY,"맛있는; 매력적인, 재미있는"
CONFIDENT,확신하는
COLLEAGUE,동료
PONDER,심사 숙고하다
PROSCRIBE,법으로 금지하다
COUNTENANCE,"찬성하다, 지지하다, 용인하다, 참다"
VERVE,힘과 열정
EMBOLDEN,대담하게 하다
COMPREHEND,"이해하다; 내포하다,포함하다"
MISDEMEAN,나쁜 행동을 하다
CIRCUITY,"우회, 돌아가기"
FEASIBLE,실행 가능한
VOLUPTUOUS,"사치스런, 향락적인, 관능적인"
PROSAIC,진부한; 산문형식의
LAMENT,"한탄하다, 애통해하다"
STRIDENT,"(소리가) 불쾌한, 귀에 거슬리는, 삐걱거리는"
STANCH,흐름을 막다
COVETOUS,"탐내는, 갈망하는"
THORNY,"가시가 많은; 어려운, 곤란한"
MODERATE,"적절하게 하다, 완화시키다"
BALM,"향유,(피부,마음)진정제"
RAVE,횡설수설 말하다; 극찬하다
INDELIBLE,"지울 수 없는, 제거 할 수 없는"
COMMODIOUS,"넓은, 널찍한"
HEADSTRONG,고집센
SLOUCH,구부정하게 서있다/걷다
INTERMITTENT,"때때로, 가끔 발생하는"
DILUTE,"묽게 하다, 약화시키다"
CREDULOUS,"잘 믿는, 잘 속는"
WILLFUL,"고집불통의,고의적인"
DEFICIENCY,부족; 결점
VACUOUS,"생각이 없는, 어리석은"
INSIPID,"맛없는; 재미없는, 생기없는, 지루한"
INCOHERENT,(말 글)조리가 없는
ANTIC,"익살스러운,장난끼 있는"
NEBULOUS,"흐린,구름 같은,뚜렷하지 않은"
HAREBRAINED,"경솔한, 무모한"
SABOTAGE,"고의적으로 방해하다,파괴하다"
FAULTFINDING,트집잡기
TIMELESS,영원한
BUSYBODY,"참견쟁이, 오지랍넓은 사람"
APOLOGIST,"변증론자,변론자"
CONCESSION,"시인, 양보"
CLOUT,"영향력, 힘"
HEADLONG,"무모한, 성급한"
HARROW,"괴롭히다, 못살게 굴다,망치다,침해하다"
LARVAL,"유충의, 유충단계에 있는; 미성숙한"
GRAFT,"접목시키다, 접붙이다"
ADJUNCT,"부가물, 첨가물"
COUNTLESS,무수히 많은
AERATE,통풍시키다
TRAMMEL,"얽히게 하다, 방해하다, 막다"
PROFANE,"불경스러운, 세속적인; 거룩하지 않은, 더러운"
EARMARK,"(자금, 물건 등을)특정용도로 지정하다, 책정하다"
QUASH,"억제하다, 억누르다"
GRILL,엄중히 심문하다; 취조하다
IRRESOLUTION,"주저함, 마음의 불확실"
EXTENUATE,"(죄, 과실) 경감시키다, 가볍게 하다; 야위게 하다"
REPULSIVE,"불쾌감을 주는, 역겨운"
GARISH,지나치게 화려한
ENERGETIC,활력 있는
SLUGGISH,"둔한, 활력 없는"
EVICT,"퇴거시키다, 내쫓다"
ABRIDGE,"요약하다,축약하다"
FERROUS,"철의, 철을 함유한"
INDISPENSABLE,필수불가결의
QUIXOTIC,지나치게 이상적인; 비현실적인
OVERHAUL,정밀 점검하다;전면 개보수하다
EXTRANEOUS,관련 없는
PECCADILLO,"가벼운죄, 사소한 실수"
QUOTIDIAN,"일상적인, 매일매일의, 평범한"
CHARISMATIC,카리스마 있는
PAT,"적절한,능숙한;연습한 것처럼/외운 것처럼 딱 맞는"
CONGENIAL,"마음이 맞는, 같은 성질의, 상냥한"
BAUBLE,겉만 번지르르한 싸구려; 시시한 것
ADMONISH,"경고하다,훈계하다"
INTIMATE,"넌지시 알려주다, 암시하다"
PERPLEX,혼란스럽게 하다
VOLITIONAL,"의지의, 결단력 있는"
VENERATE,존경하다
FUGITIVE,"덧없는, 금방사라지는"
AFFECTED,"인위적인,꾸민"
PONDEROUS,"무거운, 육중한; 지루한"
CENTRAL,"중심의, 중요한, 필수의"
FICKLE,변덕스런
REBUFF,"퉁명스럽게 거부하다, 거절하다"
SLY,"교활한, 간사한, 음흉한"
ABJECT,"(생활,상태,태도,기분) 비참한"
FIGURINE,작은 조각상
PROTRACT,(기간)연장하다; (몸)(앞으로)쭉 뻗다
SENTIENT,"감각이 있는, 느낄 수 있는"
SENTINEL,"경계병, 초보"
ARBITER,중재자;판정권자
CURB,억제하다
NUANCE,"미묘한 차이,음영"
WAFFLE,(알맹이 없이) 장황하게 말을 늘어놓다
RHAPSODIZE,열광적으로 이야기하다
ACCIDENTAL,"우연의, 뜻밖의; 불변의"
POSTURE,과장되고 부자연스런 포즈를 취하다
GALVANIZE,전기자극을 주다;자극하다
HULL,겉껍질
EMPATHETIC,감정이입의
LEANING,"기호, 편애"
EXPANSIVE,"(성격,태도) 개방적인, 너그러운, 대범함"
FORTUITOUS,우연한
VIGNETTE,"(영화 등의) 짧은 장면, 짧은 사건"
DELETERIOUS,해로운
ISTHMUS,지협; 두 개의 육지를 연결하는 좁고 긴 땅
CLANDESTINE,"비밀의, 은밀한"
ACME,최정상
UNWIELDY,다루기 힘든; 성가시고 어려운
IRRATIONAL,"이성이 없는, 불합리의, 무리한"
PRATE,재잘재잘 지껄이다
LICENTIOUS,"음란한, 문란한"
BLANDISH,"아부하는 말로 설득하다, 꼬드기다"
GREGARIOUS,사교적인
VISE,바이스로 힘껏 죄다
BOGUS,가짜의
DIAPHANOUS,"(천이) 얇은, 비치는; (생각) 확실하지 않은, (가능성) 희박한"
PITHY,"간결한;힘찬 명쾌한,뜻이 깊은"
LAZE,"빈둥거리다, 게으름 피우다"
EXTEMPORANEOUS,"즉흥적인, 계획 없이 이루어진"
INJURIOUS,"해로운; 비방하는, 모략하는"
MINE,탄광;채굴하다
DECIPHER,해독하다
PRECLUDE,"배제하다, 방해하다"
FINALE,"공연의 마지막, 대미"
DRAMATIC,"극적인, 인상적인"
CAREFREE,"걱정근심 없는, 속편한"
DIRGE,"만가, 비가"
ENFRANCHISE,투표권을 주다;자유롭게 해주다
UNCOUTH,"(사람, 행동) 무례한, 거친; (외모) 세련되지 못한, 꼴사나운"
GAIT,걸음걸이
HAVOC,"대파괴, 황폐, 대혼란"
HARBINGER,예언자;전조
MUTABILITY,변화성
INDEFEASIBLE,무효화 할 수 없는
ASCENDANT,"상승하는,올라가는;(힘과 영향력)"
DIATRIBE,"통렬한 비난, 혹평"
PAUCITY,"소량,결핍,부족"
FLAMBOYANT,"눈부신, 화려한, 현란한"
BROMIDE,진부하고 상투적인 말
SCOFF,조롱하다
SUCCINCT,간결한
DISCREDITABLE,"불명예스러운, 비난 받을만한"
ATTENTIVE,"주의 깊은;상냥한,친절한"
SQUANDER,"탕진하다, 낭비하다"
CHASTEN,"훈육하다, (마음을)정화시키다, 겸손하게 하다, 억제하다"
RENEGADE,"배교자,변절자;반역자"
MATRICULATION,"입학, 입학허가"
TAXING,"힘든, 고생이 많은"
SMATTERING,피상적인 지식; 적은 양
FORBEARANCE,"인내, 자제"
SURFEIT,과다
BLEMISH,흠; 도덕적 오점
SUBLIME,숭고한
CONTRAVENE,"위반하다; 모순되다, 반박하다"
EGOISM,이기주의
ELEMENTAL,"기본적인, 근본적인"
INCONSONANT,일치하지 않는 조화되지 않는
CROTCHETY,"화잘내는, 까다로운"
PROCLIVITY,"성향, 경향"
VINDICTIVE,"복수심이 불타는, 앙심을 품은"
PREEMINENCE,"가장 뛰어남, 탁월함"
SALUTE,"(예의 바른)인사, 몸짓, 경례"
DISAFFECT,정떨어지게 하다; 불만을 품게 하다
CATHOLIC,"(취향이)폭넓은, 보편적인"
STILL,"움직임, 소리가 없는"
LODE,광맥; 풍부한 원천
SOLITUDE,"혼자 있음, 외로움"
PERIPATETIC,"순회하는,돌아다니는"
MORIBUND,다 죽어가는;기력 없는
MALLEABLE,(금속)변형이 잘 되는
TEMERITY,"지나친 자신감, 무모함, 뻔뻔함"
INVECTIVE,"욕설, 모욕적인 말"
BOAST,자랑하다
FILLY,어린 암말
AMNESIA,건망증
MALIGN,(악의적으로)비난하다
REGIMENTATION,"조직화, 통제"
INKLING,"어렴풋이 알고 있음; 넘지시 비침, 암시"
INGRATIATE,환심을 사기 위해서 비위를 맞추다
GLIDE,미끄러지듯이 움직이다
BENEVOLENT,"자비심 많은, 자선을 행하는"
PUDDLE,작은 웅덩이
DEBARK,(비행기나 선박에서)내리다; (짐을)내리다
CROUCH,웅크리다
SKIMP,"아까워하다, 인색하게 굴다"
PERMISSIVENESS,"관대함,허용적인"
SLITHER,(뱀처럼)스스르 꿈틀거리며 나아가다
PROGNOSTICATION,예언
LEAN,"마른; 기울어지다, 기대다"
INTEGRATE,통합하다
BADINAGE,가벼운 농담
EMBRACE,"포용하다, (생각, 의견)채택하다"
EMBRYONIC,미발달의
HOBBLE,절뚝거리다
IMPECCABLE,"결함 없는, 완벽한"
MADCAP,"무모한, 황급한, 미친"
UNTENABLE,(논리)방어되지 않는
AFFIDAVIT,진술서
PECK,부리로 쪼다;가볍게 키스하다
RECONDITE,난해한
SYBARITE,쾌락주의자
LULL,"일시적 잠잠함, 잠시 중단, 소강상태;달래다, 어르다, 재우다"
POMPOUS,"(태도, 말) 오만한, 거만한, 과장된"
UNHACKNEYED,진부하지 않은
ABOUND,풍부하다
INCORRIGIBLE,"고집불통의, 구제불능의"
DEVITALIZE,"활력을 빼앗다, 약화시키다"
SAVORY,맛 좋은
DATED,"구식의, 오래된"
DICEY,"예측할 수 없는, 잠재적으로 위험한"
PROTUBERANCE,"돌출, 돌기, 융기"
CAVALIER,"건방진, 거만한"
HALTING,(말)더듬거리는;막히는
VALIANT,용기 있는
DENOUNCE,공공연히 비난하다; (조약) 폐기를 선언하다
RUSTIC,"전원적인, 시골의"
ACHROMATIC,무색의
FORTHCOMING,"다가오는, 임박한; 솔직한"
INVINCIBLE,"이길 수 없는, 무적의"
MARBLED,대리석 무늬의
ASSUME,"가정하다;(권력,의무)떠맡다;가장하다"
DESECRATE,신성을 모독하다
BOLSTER,"지탱하다, 지지하다, 강화하다"
BIFURCATE,"두 갈래로 가르다, 분기하다"
EXPOSITORY,설명하기 위한
DEMOTE,강등시키다
SLINK,"조용히, 은밀하게 움직이다"
MALICIOUS,"악의(적의)있는, 심술궂은"
GUST,"(갑자기)획 부는 바람, 돌풍"
LUSTER,광택
AUDIBLE,(소리) 들리는
GAWKY,"서투른, 어색한, 얼빠진"
VELOCITY,속도
GUFFAW,(천한)가가대소;큰소리로(깔깔)웃다
PRINCIPLED,"윤리적인, 규율이 있는"
PALLID,(얼굴) 창백한
RANCOR,"원한, 악의"
DEPRECIATE,평가절하하다; (가치) 떨어뜨리다
ESTRANGE,(관계) 소원하게 하다
FUNDAMENTAL,근본적인; 매우중요한
SUPPLENESS,유연함
REFUTE,논박하다
FATHOM,헤아리다; 수심을 재다
PRIMORDIAL,"원시의, 태고의, 옛날의"
BURLY,"건강한, 튼튼한"
VERDANT,"초목이 무성한; 경험적은, 미숙한"
MORDANT,신랄한
CAVIL,트집잡다
DECRY,공개적으로 비난하다
ELUCIDATE,(명확히)설명하다
DROSS,"녹은 금속의 찌꺼기;납동, 물때;가치 없는 것"
PERSISTENCE,"고집,집요,지속"
SYSTEMATIC,"체계적인, 계획적이고 조직적인 "
BEWITCH,"마술 걸다, 매혹시키다"
UNPREPOSSESSING,"호감주지 못하는, 매력 없는"
IMPUGN,"의심하다,이의를 제기하다,비난하다,공격하다"
ADRIFT,"표류하는, 떠내려가는; 방황하는"
INDISCRIMINATION,무분별한 행동; 무차별
EXPURGATE,검열하여 삭제하다
HUT,오두막; 임시로 지은 숙소
BULLY,불량배; 약한 자를 괴롭히는 사람
GRASSY,"풀이 덮인, 풀이 무성한"
DAFT,"어리석은, 미친"
FRICTION,마찰
HOARSE,"(목소리가)거친, 쉰 소리가 나는"
BRACKISH,짭짤한; 맛이 없는
HIDEBOUND,"완고한, 몹시 보수적인"
BLURT,"(말을)불쑥 내뱉다, 무심코 말하다"
ENTRENCHED,굳어진
ISOMORPHOUS,동형의
CANONIZE,"권위 있는 것으로 인정하다, 찬양하다"
DISCERN,"알아보다, 이해하다, 분별하다"
BUCOLIC,전원적인
PERSIFLAGE,"농담,희롱,익살;경박함"
EVEN-HANDED,공정한
CACOPHONY,불협화음
KNOTTY,매듭으로 가득한; 풀기 어려운
RESILIENCE,"탄력, 회복력"
MALINGER,"꾀병을 부리다, (의무)회피하다"
EPHEMERAL,"일시적인, 덧없는"
HYPERBOLE,"과장된 말, 과장법"
LARDER,식료품 저장실
ABET,부추기다
COLLUDE,"결탁, 공모하다"
CAPTIVATE,매료시키다
ASCETIC,금욕주의자
TITANIC,거대한
REFUSE,쓰레기
BURGEON,급성장하다
REPROACHABLE,비난할만한
BOLT,갑자기 도망치다; 볼트로 연결(고정)시키다; 게걸스럽게 먹다
PERIPHERAL,"주변부의,중요하지 않은"
OPPORTUNE,"(시기, 시간) 적절한"
AGGREGATE,"모으다;결합된,총계의;집단,총계"
POACH,끓는 물로 요리하다; 밀렵하다
DALLY,"시간 낭비하다;가지고 놀다, 희롱하다"
HUE,"색깔, 색조"
BELLICOSE,"호전적인, 싸우기 좋아하는"
TETHER,"(밧줄로) 묶다, 고정시키다"
RECAPITULATE,요약하다
SATIRICAL,풍자의
AQUATIC,"물의,수생의"
TURMOIL,"소란, 혼란, 불안, 동요"
ELASTIC,탄력 있는
PATENT,"명백한,눈에 띄는"
FLUCTUATE,변동하다
AUTONOMY,"자율성,자치권,자립"
PODIUM,"연단, 지휘단"
CAPTIOUS,"트집잡는, 반대하는 "
DRAWL,모음을 늘여서 천천히 말하다
WORLDLY,"세속적인,경험 많고 세상을 잘아는"
KNOLL ,작은 언덕
WITHERED,"쭈글쭈글한,쇠약한,시든"
IMPASSIONATE,열정적인
INCONTESTABLE,"논의의 여지가 없는, 명백한"
FILMSTRIP,영사슬라이드
BLUSH,(당황하여)얼굴을 붉히다
ALLAY,"(두려움,의심,염려) 가라앉히다,(고통) 완화시키다"
ACCELERATE,가속화하다
STAGNANT,(물이) 흐르지 않고 고여있는
APPROACHABLE,"친근한,말걸기쉬운"
IMMATERIAL,"중요하지 않는, 관련 없는; 영적인"
VOLUBLE,"유창한, 말 많은"
FACETIOUS,"익살스런, 웃기는; 가벼운"
DASH,"돌진하다; 활기, 원기"
SCOUR,(솔과 물로) 북북 문질러 닦다
IMBIBE,"(술, 물) 마시다, 흡수하다; (지식, 정보) 학습하다"
IMMEMORIAL,"옛날의, 태곳적의"
BUOY,"띄우다, 뜨다; 받치다; 기운을 북돋우다"
CRUMP,오독오독 씹다; 뻥 터지다
FANATIC,열성적인
FLEE,"도망가다; 빠르게 지나가다, 사라지다"
SWAY,마음이 흔들리다; 마음을 흔들다
INFIRM,허약한; (마음)불확실한
INCESSANT,끊임없이 계속 이어지는
ARIDNESS,건조함
RIPEN,"익다, 숙성하다, 익히다, 숙성시키다"
FLACCID,축늘어진; 무기력한
BILIOUS,"극도로 불쾌한, 성미 까다로운"
INHIBIT,"(행동, 진행)막다, 제한하다"
PAROXYSM,"갑작스런 발작,감정의 폭발"
PILLORY,공개적으로 웃음거리로 만들다
AVID,"몹시 탐내는;열심인,열광적인,열정적인"
ABNORMAL,비정상적인
FISSURE,"(땅, 바위) 균열; 불화"
IRREVERENT,"불손한, 불경스런"
REJOINDER,"답변, 응답; (피고측) 답변"
VICE,"악, 사악함"
REALISTIC,현실적인
GRITTY,"의지가 굳은, 대담한;모래먼지 투성이의"
PLATITUDE,"진부한 말, 진부함"
PEDESTRIAN,"평범한,진부한"
BLUSTERING,호통치는
RANSACK,"철저히 수색하다, 조사하다"
SVELTE,"날씬한, 세련된"
FURTIVE,은밀한
UNFORTUNATE,운이 없는; 재난이나 불행을 초래하는
HYGIENE,위생
REVISIONIST,수정주의자
PERTURB,"마음을 불안하고 초조하게 만들다,동요시키다"
DESPISE,경멸하다
VIM,"정력, 활기, 열정"
ARREST,진행을 막다;눈길을 끌다
EARTHLY,"세속적인, 지상의"
FACILITATE,용이하게 하다
AFFABLE,"사귀기 쉬운,붙임성 있는,상냥한"
APROPOS,"적절한,알맞은,시기 적절한"
UNAFFECTED,"꾸임 없는, 가장 없는, 허세부리지 않는"
SKEPTIC,"의심하는 사람, 회의주의자"
PERORATION,"끝맺는 말,(연설) 결어"
INSALUBRIOUS,몸에 해로운
NUISANCE,"귀찮은 것,성가신 것,폐"
QUEASY,멀미하는; 멀미 나게 하는
MINATORY,위협하는
CHEEKY,"(사람, 언행) 건방진, 뻔뻔한"
SEMANTICS,의미론
HARANGUE,"장광설;비난,질책;장광설을 늘어놓다;비난하다,질책하다"
SEAMY,"도덕적으로 낮은, 천한"
CRAVING,"갈망, 열망"
INCREDULOUS,잘 안 믿는
IMPETUOUS,"충동적인, 성급한"
DELIBERATION,"심사숙고, 합의, 토의"
TEMPERANCE,"자제, 절제"
UNREMUNERATIVE,보수나 이익이 없는(적은)
OCCULT,"숨겨진,눈에 보이지 않는,난해한"
GLIMMER,희미하게 빛나다
RESTIVE,"안절부절 못하는; 고집부리는, 다루기 힘든"
MOTTLE,"점,얼룩을 묻히다"
CLINCH,"(못, 나사)고정시키다, 결말을 내다, 성사시키다"
BEFRIEND,친구가 되다
VIRTUOSO,"명인, 대가"
SUBSIDE,"내려앉다, 가라앉다"
PALLIATE,(증상)완화시키다
BENIGNANT,"친절한, 다정한, 유익한"
SAGE,"현인, 현자"
CABAL,"정치적 음모단, 비밀결사, 파벌"
HACKNEYED,진부한
CLAUSE,문장의 절
PUGNACIOUS,호전적인
DISTILL,증류하다
ALACRITY,"민첩함,민활함;선뜻 ~함"
TAWDRY,장식만 번지르르하고 싸구려의
VENEER,"합판, 화장판"
INSINUATE,넌지시 말하다
SANCTUARY,지성소;피난처
VOTARY,"열렬한 추종자,신봉자"
FRANTIC,"광란의, 정신 없는, 미쳐 날뛰는"
HAUNT,자주 가는 장소
TACKY,"촌스런, 패션감각이 떨어지는; 끈끈한"
SERIAL,"연속극, (잡지)연재물"
PROVIDENTIAL,"시기 적절한, 운이 좋은;섭리의, 신의 뜻에 의한"
DISPARAGE,"깎아내리다, 깔보다, 비난하다"
CAMEO,(유명배우)우정출연; (보석) 카메오조각(양각)
UTTER,"완전한, 절대적인; 말하다"
CONTORT,"(몸이)휘다, 비틀어지다"
AMBIVALENT,상반된 마음이나 생각을 동시에 가진;마음이 오락가락하는
CORPULENT,"살찐, 뚱뚱한"
ACOUSTIC,"음향의,소리의,청각의"
HILLOCK,작은 언덕
STATURE,"키, 신장; 지위"
FLICKER,깜빡 거리다
BENUMBED,무감해진
FECUND,"비옥한, 생산력이 있는, 풍성한"
DEFINE,"분명하게 묘사하다, 정의를 내리다"
JAUNTY,"경쾌한, 활발한"
PINNACLE,"절정,전성기,정상"
IMPEACHABLE,"탄핵을 받을 만한, 비난 받을 만한"
NONPLUS,"혼란스럽게 하다,놀라게 하다"
CANDID,솔직한
DISARM,적개심을 제거하다; 무장해제시키다
METICULOUS,"지나치게 꼼꼼한, 주의 깊은, 정확한"
ACQUIESCE,묵묵히 받아들이다
CALUMNY,"중상, 비방"
GUILE,"속임수, 꾀,술책"
TESTIMONIAL,추천서; 감사장
HAPHAZARD,체계적이지 않은
IMPRACTICABLE,실행 불가능한
IMPERISHABLE,"영원한, 사라지지 않는"
ODIUM,"증오,미움;비난,악평"
RUE,"뉘우치다,후회하다, 유감으로 여기다"
TERMINOLOGY,특정분야의 기술적 용어들; 전문용어
INSTABLE,불안정한
LEGIBLE,읽을 수/이해할 수 있는
SCAN,시의 운율을 살피다
FLABBY,"살이 축 늘어진, 허약한"
DISCREET,"신중한, 조심스러운"
FILIBUSTER,의사진행방해 (긴 연설 등)
ENDEAVOR,노력
NETTLE,"화나게 하다,안절부절못하게 하다;쐐기풀"
EXCRUCIATE,"심한 고통을 주다, 괴롭히다"
DISCONCERTED,마음이 혼란스런
GOUGE,(지나친 가격으로)금전을 갈취하다
REGULARITY,"정상성, 항상성"
UNSALVAGEABLE,구해낼 수 없는
RELINQUISH,"포기하다, 양보하다, 양도하다"
CONCORD,"일치, 조화, 화합"
REBUKE,심하게 꾸짖다
DEFEASIBLE,"무효화할 수 있는, 파기할 수 있는"
FORTE,(칼날 중간과 칼자루 사이) 강한부분
CHOLERIC,"담즙질의, 화를 잘 내는"
INSOUCIANT,"태평한, 근심이 없는"
RECONSTITUTE,물을 부어 원래의 상태로 회복시키다
HEATED,"화난, 격렬한; 열렬한"
MOMENTUM,운동량
INFINITESIMAL,"극소의 , 매우 작은"
PRECIPITOUS,"벼랑 같은, 급경사의, 황급한, 허둥대는"
PERCIPIENT,"지각하는,감지하는,통찰력 있는"
REPOSE,휴식
VERSED,"경험이 있는, 잘 알고 있는"
ARBORETUM,수목원
INTEGRAL,"불가결한, 필수의"
ABSTRUSE,"난해한,심오한"
DIDACTIC,"가르치기 위한, 교훈적인, 설교적인"
TENTATIVE,임시적인
SALIENT,"돌출한, 눈에 띄는, 유명한"
HUSKY,(소리가)거친; 건장한
RITE,"의식,절차"
DISCOMFIT,당황하게 하다
ELATED,"아주 즐거워하는, 기뻐하는"
REPLETE,"충분한, 가득한"
FRUGAL,"검소한, 절약하는"
ATROPHY,"신체 구성조직의 퇴화;약화,감소"
EMACIATED,"쇠약해진, 수척한"
WELL-DEVELOPED,충분히 성숙한/발달한
COMPLIANT,순응하는
PANACHE,"당당한 태도,품격,기백,과시"
STAMINA,"지구력, 체력"
SKEW,"비스듬한, 경사진, 비뚤어진"
AMENITY,"편의시설,쾌적함,예의"
INEVITABLE,"피할 수 없는, 불가피한"
BANAL,진부한
IMMUTABLE,불변의
GAUNT,"수척해진, 쇠약해진"
MEEK,"온순한, 유순한"
ODIOUS,"몹시 불쾌한,혐오스런"
MALODOROUS,악취가 나는
VARNISH,"바니시를 발라서 광택을 내다; 니스, 바니시"
ETHEREAL,"천상의, 영적인; 가볍고 섬세한"
SERAPHIC,"천사의, 천사 같은"
EFFERVESCENCE,"쾌활함, 활기, 기운이 넘침"
DIVULGE,"누설하다, 폭로하다"
INSIGHT,직관력
UNFATHOMABLE,이해하기 힘든; 측정하기 힘든
PALPABLE,"촉각으로 느낄 수 있는;명백한,뚜렷한"
HARD-BOILED,"현실적인, 실제적인, 무정한, 감상적이지 않은, 비정한"
ENCOMPASS,"둘러싸다, 포위하다, 포함하다"
REDOLENT,향기로운
UNANIMOUS,만장일치의
