
ABACUS,주판
ESOTERIC,"난해한, 소수만 아는"
FRACTIOUS,"쉽게 해내는, 다루기 힘든"
WAFT,(공중에서 부드럽게)퍼지다
INFORMALITY,"비공식성, 격식을 차리지 않음"
PUNDIT,"권위자, (미디어에 출연해서 의견을 말하는) 전문가"
SURREPTITIOUS,은밀한
EBULLIENT,"쾌활한, 활력 있는;비등하는"
DAB,가볍게 살짝 바르다
MERITED,"(상,벌,주목)받을 자격이 있는"
CROON,낮은 목소리로 부드럽게 노래하다
APPROXIMATE,근접한
THRONG,"군중, 인파; 많은 수로 모이다"
HASTEN,서두르다
CANARD,"헛 소문, 지어낸 이야기"
COHERENT,"일관성 있는, 논리적인"
ENDURING,지속적인
THIN,"성기게 하다/되다, 묽게 하다/되다, 가늘게 하다/되다"
FANTASTIC,비현실적인
MENDICANT,구걸하는;거지
FRATERNIZE,"사귀다, 친해지다, 형제처럼 지내다"
SURRENDER,포기하다 양보하다
MEAN,"질이 떨어지는, 가치가 없는, 양이 적은, 시시한"
INAUGURATE,"시작하다, 취임시키다"
JOCUND,쾌활한
BURNISH,닦아서 광내다
MORATORIUM,"(지불,집행)유예"
BASE,"(도덕적으로)상스러운,천한,비열한"
RESERVOIR,저수지;수조
LAUD,"칭찬하다, 찬양하다"
UNWONTED,"익숙하지 않은, 일반적이지 않은"
NONENTITY,있으나 마나한 인간(사물)
SOPHISM,"궤변, 잘못된 이론"
HOMILY,설교;지루한 도덕적 훈계
GRATING,삐걱 거리는;(소리가)신경에 거슬리는
MENACE,위협하는 사람;위협하다
LISSOME,"유연한, 우아한"
INTER,매장하다
LEVIATHAN,거대한 바다동물; 거대한 것
ALIBI,부재증명
DEHYDRATE,"건조시키다, 탈수시키다"
ACUMEN,"명민,판단력,분별력"
INSUBSTANTIAL,"허약한, 튼튼하지 않은"
VAINGLORIOUS,자만심이 강한
PILFER,훔치다
SHUN,기피하다
METAMORPHOSE,변형하다
REAGENT,시약
LUGUBRIOUS,"침울한, 슬픈"
DANK,(불쾌하게)축축한
PHILANTHROPIST,"박애주의자,자선가"
UNAVAILING,"보람없는, 효과없는, 소용없는"
OBSCURE,불명료하게 하다;불명료한;유명하지 않은
CHIMERA,"가공의 괴물, 가상"
KNEAD,반죽하다
IMPAIR,"약화시키다, 손상시키다"
RETRACT,"취소하다, 철회하다"
INEFFABLE,"말로 표현할 수 없는, 형언할 수 없는"
SCANTY,"적은, 불충분한"
DREDGE,"물바닥등을 긁어내다, 준설하다"
LIMPID,"(액체)깨끗한, 맑은"
TRANSIENT,일시적인
PERSIMMON,감(오렌지색 과일)
PRECURSOR,"선구자, 선행하는 것"
PERTINENT,"관련된,적절한"
HERETIC,"(일반적인 믿음)따르지 않는 사람, 이단자"
PREOCCUPATION,"몰두, 열중"
ECUMENICAL,"보편적인, 전반적인"
CHUCKLE,"킬킬 웃다, 소리 없이 웃다"
TESTY,"조급한, 쉽게 화내는"
WAREHOUSE,"상품창고,물류창고"
EMERGENCE,"출현, 부상, 발생"
CORRESPOND,"부합하다, 상응하다; 서신을 교환하다"
TORPOR,무기력
SURPASS,능가하다
IRREVOCABLE,"돌이킬 수 없는, 취소할 수 없는"
RABID,"과격한, 광신적인, 맹렬한"
AD-LIB,즉흥 연설(연기 등)
PUERILE,유치한
HASTE,"서두름, 신속함"
PARALYZE,마비[활동 못하게]시키다
RELENTLESS,"엄격한, 가혹한, 무자비한"
AESTHETE,심미안이 있는 사람
DEADPAN,무표정한
CANONICAL,"권위로 인정된, 정통의"
UMBRAGE,"불쾌감, 화"
FRUITION,"성취, 실현, 달성; 성취의 순간"
SWATH,"넓은 지역, 널은 길"
DISSIPATE,흩어지게 하다
FLAGGING,"(힘, 권한, 결심) 약해지는; 축 늘어지는"
ALOOF,"쌀쌀맞은,무관심한,초연한"
VENAL,매수되기 쉬운
VIABLE,실행가능한; 생존할 수 있는
OVERLOOK,간과하다;무시하다
MEET,적절한
INCORPOREAL,"비물질적인, 비육체적인"
OPACITY,불투명 성
THRIFT,검소함
COMPROMISE,"(명예,신용) 위태롭게 하다, 훼손하다"
CHIP,"깨진 (돌, 나무)조각"
RESPECTABLE,존경 받을 만한
NEMESIS,복수의 화신;강적
GAVEL,"(의장,판사,경매인의)작은 망치,의사봉"
FEISTY,"적극적인, 원기 왕성한"
SEQUESTER,고립시키다
APPRISE,"정보를 주다,알려주다"
FUMBLE,"서툴게 다루다, 더듬어 찾다, 말을 더듬거리다"
CHARADE,"뻔한 거짓, 제스처게임"
ILLUSTRATE,"(그림, 차트, 예를 이용해서) 명확히 설명하다"
EXTINGUISH,불을 끄다
COLLABORATION,"협동,협력"
EVANESCENT,사라지는
COY,"부끄러운척하는, 조신한척하는, 수줍어하는"
RELEGATE,강등시키다
GRUDGE,원한
RUDE,"미개한, 교양 없는;건장한;거친,가공하지 않은, 조잡한"
TREASURE,"소중히 여기다, 소중히 간직하다"
CHATEAU,(프랑스)성(城)
LARGESSE,후함
INFIRMARY,양호실
JUBILANT,"환희에 가득 찬, 매우 기뻐하는"
ONSET,시작
HIRSUTE,털이 많은
UNGOVERNABLE,통제나 지배가 불가능한
PRODIGAL,낭비하는
GARNISH,장식하다
FOR(E)SWEAR,포기하다; 위증하다
EFFETE,활력 없는
ALLOCATE,"할당하다, 혼합하다"
MAVEN,전문가
TARNISH,"광택을 잃다, 더럽히다"
TATTY,"낡고 초라한, 넝마를 걸친"
PENITENT,"참회하는,뉘우치는,회개한"
VOLUMINOUS,"부피가 큰, 방대한"
VENERABLE,존경 받는
CONDENSED,요약된
REMORSEFUL,"깊이 후회하는, 뉘우치는"
IGNORANCE,"무지, 무식"
INCONSTANT,"변하기 쉬운, 변덕스러운, 일정하지 않은"
PARADIGMATIC,전형적인
HOMOGENEOUS,"동종의, 균질의, 비슷한"
PALLOR,창백함
REFRACTORY,"고집불통의, 다루기 힘든"
ORATOR,"웅변가,대중연설가"
TANGENTIAL,"주변의, 핵심에서 벗어난"
GRIMACE,"찡그림;찡그리다(병,고통 등으로)"
ACCLIMATE,"(새로운 환경에) 적응시키다,적응하다"
FLEDGLING,"풋나기(의), 애송이(의)"
SOPORIFIC,"수면성의, 잠이 오게 하는; 졸리는"
PULVERIZE,분쇄하다
CULTIVATE,"재배하다,기르다,양성하다"
DISPASSIONATE,"감정에 휘둘리지 않는, 냉정한;편견 없는, 공평한"
BIBLIOPHILE,애서가
DOLE,"슬픔,고통"
VACCINATE,예방 접종하다
CRAMPED,"답답한, 비좁고 갑갑한"
TALISMAN,부적
RESIGNATION,"사퇴;체념, 포기, 단념"
